classifier_name,training_time,testing_time,training_score,testing_score
DecisionTreeClassifier,2.4235222339630127,0.010969877243041992,0.9997618537305613,0.8022090134847409
RandomForestClassifier,23.553022146224976,0.4936809539794922,0.9997697919395426,0.763972675656494
GaussianNB(),0.148604154586792,0.03191423416137695,0.90212982146968,0.7644606103619588
LogisticRegression(sol,1.7543058395385742,0.0079803466796875,0.9533392076079795,0.7533711852377573
LinearDiscriminantAnal,2.310821056365967,0.0039899349212646484,0.9514816667063577,0.7532824698367636
GradientBoostingClassi,68.39225387573242,0.17453670501708984,0.9910853913140117,0.796708658623137
