classifier_name,training_time,testing_time,training_score,testing_score
OneVsRestClassifier(es,8.994987487792969,0.012958049774169922,0.9757644555933065,0.6934746928092977
OneVsRestClassifier(es,14.15105128288269,0.01396942138671875,0.9732956530022545,0.6914341480725724
MultinomialNB(),0.06282901763916016,0.008002519607543945,0.8756866605277364,0.6532404737612563
DecisionTreeClassifier,1.8941235542297363,0.007979869842529297,0.9999841234560061,0.7166304396043117
AdaBoostClassifier(),15.175971508026123,0.5555105209350586,0.8669307465150986,0.6608703366898816
